Web Server Misconfiguration,File Path,Category
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Denial of service attacks
Ensure host headers are on all sites,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\WebServices\LicenseService,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\LicenseService,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\LicenseService,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\LicenseService,SSL
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\LicenseService,SSL
Ensure HSTS Header is set,C:\TayqaSale\WebServices\LicenseService,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\LicenseService,Denial of service attacks
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\LicenseService,Permission Management
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\LicenseService,Dangerous methods enabled
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\LicenseService,Brute force attacks
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\LicenseService,Session hijacking
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\LicenseService,Permission Management
Ensure host headers are on all sites,C:\TayqaSale\WebServices\LicenseService,Denial of service attacks
IIS server is using default cipher suites,%SystemDrive%\inetpub\wwwroot,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),%SystemDrive%\inetpub\wwwroot,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),%SystemDrive%\inetpub\wwwroot,SSL
Ensure NULL Cipher Suites are disabled (IIS),%SystemDrive%\inetpub\wwwroot,SSL
Ensure TLS 1.0 is disabled (IIS),%SystemDrive%\inetpub\wwwroot,SSL
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Dangerous methods enabled
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Permission Management
