"Web Server Misconfiguration","File Path","Category"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Dangerous methods enabled"
"Ensure web content is on non-system partition","%SystemDrive%\inetpub\wwwroot","Sensitive File Access"
"Ensure host headers are on all sites","%SystemDrive%\inetpub\wwwroot","Denial of service attacks"
"Ensure application pool identity is configured for all application pools","IIS Server","Permission Management"
"Ensure unique application pools is set for sites","IIS Server","Permission Management"
"Ensure deployment method retail is set","IIS Server","Information Disclosure"
"Ensure Dynamic IP Address Restrictions is enabled","%SystemDrive%\inetpub\wwwroot","Denial of service attacks"
"Ensure Default IIS web log location is moved","IIS Server","Logging"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\LicenseService","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\LicenseService","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\LicenseService","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\LicenseService","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\LicenseService","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\LicenseService","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\LicenseService","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CampaignManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ChecklistWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ChecklistWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ServicePortal\Core","Denial of service attacks"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\ServicePortal\Core","Permission Management"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\ServicePortal\Core","Dangerous methods enabled"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\ServicePortal\Core","Brute force attacks"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\ServicePortal\Core","Session hijacking"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\ServicePortal\Core","Permission Management"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ServicePortal\Core","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\RequestProcessorWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\RequestProcessorWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ReportManagerWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ReportManagerWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ProxyWebServiceWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ProxyWebServiceWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\PenetrationWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\PenetrationWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\MessagingWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\MessagingWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\LoyaltyManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\LoyaltyManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\InventoryManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\InventoryManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DynamicToolManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DynamicToolManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CrmWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CrmWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DeliveryManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DeliveryManagementWS","Denial of service attacks"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Permission Management"
